region,category,parent,n_descendants,inclusive_query,exclusive_query,inclusive_count,exclusive_count,inclusive_url,exclusive_url,query_date,log10_inclusive_count_p1,norm_inclusive_count,log10_exclusive_count_p1,norm_exclusive_count
CA3,hippocampal,hippocampus,0,"((""hippocampal CA3""[tiab] OR ""CA3 region""[tiab] OR ""CA3 pyramidal""[tiab] OR ""CA3 neurons""[tiab] OR ""CA3 of the hippocampus""[tiab] OR ""CA3 area""[tiab] OR ""CA3 subfield""[tiab] OR (""CA3""[tiab] AND (""place cell""[tiab] OR ""place cells""[tiab] OR ""social memory""[tiab] OR ""pyramidal layer""[tiab] OR ""stratum pyramidale""[tiab] OR ""stratum radiatum""[tiab] OR ""stratum oriens""[tiab] OR ""dentate gyrus""[tiab] OR ""schaffer collateral""[tiab] OR ""schaffer collaterals""[tiab] OR ""mossy fiber""[tiab] OR ""mossy fibers""[tiab] OR ""perforant path""[tiab] OR ""hippocampal subfield""[tiab] OR ""hippocampal subfields""[tiab])))) AND (""2015""[PDAT] : ""2025""[PDAT])","((""hippocampal CA3""[tiab] OR ""CA3 region""[tiab] OR ""CA3 pyramidal""[tiab] OR ""CA3 neurons""[tiab] OR ""CA3 of the hippocampus""[tiab] OR ""CA3 area""[tiab] OR ""CA3 subfield""[tiab] OR (""CA3""[tiab] AND (""place cell""[tiab] OR ""place cells""[tiab] OR ""social memory""[tiab] OR ""pyramidal layer""[tiab] OR ""stratum pyramidale""[tiab] OR ""stratum radiatum""[tiab] OR ""stratum oriens""[tiab] OR ""dentate gyrus""[tiab] OR ""schaffer collateral""[tiab] OR ""schaffer collaterals""[tiab] OR ""mossy fiber""[tiab] OR ""mossy fibers""[tiab] OR ""perforant path""[tiab] OR ""hippocampal subfield""[tiab] OR ""hippocampal subfields""[tiab])))) AND (""2015""[PDAT] : ""2025""[PDAT])",2896,2896,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22hippocampal+CA3%22%5Btiab%5D+OR+%22CA3+region%22%5Btiab%5D+OR+%22CA3+pyramidal%22%5Btiab%5D+OR+%22CA3+neurons%22%5Btiab%5D+OR+%22CA3+of+the+hippocampus%22%5Btiab%5D+OR+%22CA3+area%22%5Btiab%5D+OR+%22CA3+subfield%22%5Btiab%5D+OR+%28%22CA3%22%5Btiab%5D+AND+%28%22place+cell%22%5Btiab%5D+OR+%22place+cells%22%5Btiab%5D+OR+%22social+memory%22%5Btiab%5D+OR+%22pyramidal+layer%22%5Btiab%5D+OR+%22stratum+pyramidale%22%5Btiab%5D+OR+%22stratum+radiatum%22%5Btiab%5D+OR+%22stratum+oriens%22%5Btiab%5D+OR+%22dentate+gyrus%22%5Btiab%5D+OR+%22schaffer+collateral%22%5Btiab%5D+OR+%22schaffer+collaterals%22%5Btiab%5D+OR+%22mossy+fiber%22%5Btiab%5D+OR+%22mossy+fibers%22%5Btiab%5D+OR+%22perforant+path%22%5Btiab%5D+OR+%22hippocampal+subfield%22%5Btiab%5D+OR+%22hippocampal+subfields%22%5Btiab%5D%29%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22hippocampal+CA3%22%5Btiab%5D+OR+%22CA3+region%22%5Btiab%5D+OR+%22CA3+pyramidal%22%5Btiab%5D+OR+%22CA3+neurons%22%5Btiab%5D+OR+%22CA3+of+the+hippocampus%22%5Btiab%5D+OR+%22CA3+area%22%5Btiab%5D+OR+%22CA3+subfield%22%5Btiab%5D+OR+%28%22CA3%22%5Btiab%5D+AND+%28%22place+cell%22%5Btiab%5D+OR+%22place+cells%22%5Btiab%5D+OR+%22social+memory%22%5Btiab%5D+OR+%22pyramidal+layer%22%5Btiab%5D+OR+%22stratum+pyramidale%22%5Btiab%5D+OR+%22stratum+radiatum%22%5Btiab%5D+OR+%22stratum+oriens%22%5Btiab%5D+OR+%22dentate+gyrus%22%5Btiab%5D+OR+%22schaffer+collateral%22%5Btiab%5D+OR+%22schaffer+collaterals%22%5Btiab%5D+OR+%22mossy+fiber%22%5Btiab%5D+OR+%22mossy+fibers%22%5Btiab%5D+OR+%22perforant+path%22%5Btiab%5D+OR+%22hippocampal+subfield%22%5Btiab%5D+OR+%22hippocampal+subfields%22%5Btiab%5D%29%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,3.4619,0.5716,3.4619,0.5863
subiculum,hippocampal,hippocampus,0,"((""subiculum""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])","((""subiculum""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])",1308,1308,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22subiculum%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22subiculum%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,3.1169,0.4632,3.1169,0.475
amygdala,amygdala,,2,"((""amygdala""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])","(((""amygdala""[tiab])) NOT ((""central amygdala""[tiab] OR ""central nucleus of the amygdala""[tiab] OR (""CeA""[tiab] AND (amygdala[tiab] OR central[tiab]))) OR (""basolateral amygdala""[tiab] OR (""BLA""[tiab] AND (amygdala[tiab] OR basolateral[tiab]))))) AND (""2015""[PDAT] : ""2025""[PDAT])",20400,16310,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22amygdala%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%28%22amygdala%22%5Btiab%5D%29%29+NOT+%28%28%22central+amygdala%22%5Btiab%5D+OR+%22central+nucleus+of+the+amygdala%22%5Btiab%5D+OR+%28%22CeA%22%5Btiab%5D+AND+%28amygdala%5Btiab%5D+OR+central%5Btiab%5D%29%29%29+OR+%28%22basolateral+amygdala%22%5Btiab%5D+OR+%28%22BLA%22%5Btiab%5D+AND+%28amygdala%5Btiab%5D+OR+basolateral%5Btiab%5D%29%29%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,4.3097,0.8381,4.2125,0.8282
basolateral amygdala,amygdala,amygdala,0,"((""basolateral amygdala""[tiab] OR (""BLA""[tiab] AND (amygdala[tiab] OR basolateral[tiab])))) AND (""2015""[PDAT] : ""2025""[PDAT])","((""basolateral amygdala""[tiab] OR (""BLA""[tiab] AND (amygdala[tiab] OR basolateral[tiab])))) AND (""2015""[PDAT] : ""2025""[PDAT])",2785,2785,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22basolateral+amygdala%22%5Btiab%5D+OR+%28%22BLA%22%5Btiab%5D+AND+%28amygdala%5Btiab%5D+OR+basolateral%5Btiab%5D%29%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22basolateral+amygdala%22%5Btiab%5D+OR+%28%22BLA%22%5Btiab%5D+AND+%28amygdala%5Btiab%5D+OR+basolateral%5Btiab%5D%29%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,3.445,0.5663,3.445,0.5808
central amygdala,amygdala,amygdala,0,"((""central amygdala""[tiab] OR ""central nucleus of the amygdala""[tiab] OR (""CeA""[tiab] AND (amygdala[tiab] OR central[tiab])))) AND (""2015""[PDAT] : ""2025""[PDAT])","((""central amygdala""[tiab] OR ""central nucleus of the amygdala""[tiab] OR (""CeA""[tiab] AND (amygdala[tiab] OR central[tiab])))) AND (""2015""[PDAT] : ""2025""[PDAT])",1884,1884,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22central+amygdala%22%5Btiab%5D+OR+%22central+nucleus+of+the+amygdala%22%5Btiab%5D+OR+%28%22CeA%22%5Btiab%5D+AND+%28amygdala%5Btiab%5D+OR+central%5Btiab%5D%29%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22central+amygdala%22%5Btiab%5D+OR+%22central+nucleus+of+the+amygdala%22%5Btiab%5D+OR+%28%22CeA%22%5Btiab%5D+AND+%28amygdala%5Btiab%5D+OR+central%5Btiab%5D%29%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,3.2753,0.513,3.2753,0.5261
bed nucleus of the stria terminalis,limbic subcortical,,0,"((""bed nucleus of the stria terminalis""[tiab] OR (""BNST""[tiab] AND (stria[tiab] OR terminalis[tiab] OR amygdala[tiab])))) AND (""2015""[PDAT] : ""2025""[PDAT])","((""bed nucleus of the stria terminalis""[tiab] OR (""BNST""[tiab] AND (stria[tiab] OR terminalis[tiab] OR amygdala[tiab])))) AND (""2015""[PDAT] : ""2025""[PDAT])",1251,1251,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22bed+nucleus+of+the+stria+terminalis%22%5Btiab%5D+OR+%28%22BNST%22%5Btiab%5D+AND+%28stria%5Btiab%5D+OR+terminalis%5Btiab%5D+OR+amygdala%5Btiab%5D%29%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22bed+nucleus+of+the+stria+terminalis%22%5Btiab%5D+OR+%28%22BNST%22%5Btiab%5D+AND+%28stria%5Btiab%5D+OR+terminalis%5Btiab%5D+OR+amygdala%5Btiab%5D%29%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,3.0976,0.4571,3.0976,0.4688
lateral septum,limbic subcortical,,0,"((""lateral septum""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])","((""lateral septum""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])",479,479,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22lateral+septum%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22lateral+septum%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,2.6812,0.3262,2.6812,0.3346
medial septum,limbic subcortical,,0,"((""medial septum""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])","((""medial septum""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])",462,462,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22medial+septum%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22medial+septum%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,2.6656,0.3213,2.6656,0.3295
septal nuclei,limbic subcortical,,0,"((""septal nuclei""[tiab] OR ""septal nucleus""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])","((""septal nuclei""[tiab] OR ""septal nucleus""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])",247,247,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22septal+nuclei%22%5Btiab%5D+OR+%22septal+nucleus%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22septal+nuclei%22%5Btiab%5D+OR+%22septal+nucleus%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,2.3945,0.2361,2.3945,0.2421
basal forebrain,limbic subcortical,,0,"((""basal forebrain""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])","((""basal forebrain""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])",1563,1563,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22basal+forebrain%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22basal+forebrain%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,3.1942,0.4875,3.1942,0.5
diagonal band,limbic subcortical,,0,"((""diagonal band of Broca""[tiab] OR ""nucleus of the diagonal band""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])","((""diagonal band of Broca""[tiab] OR ""nucleus of the diagonal band""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])",157,157,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22diagonal+band+of+Broca%22%5Btiab%5D+OR+%22nucleus+of+the+diagonal+band%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22diagonal+band+of+Broca%22%5Btiab%5D+OR+%22nucleus+of+the+diagonal+band%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,2.1987,0.1745,2.1987,0.179
claustrum,limbic subcortical,,0,"((""claustrum""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])","((""claustrum""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])",502,502,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22claustrum%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22claustrum%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,2.7016,0.3326,2.7016,0.3411
striatum,basal ganglia,,5,"((""striatum""[tiab] OR ""corpus striatum""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])","(((""striatum""[tiab] OR ""corpus striatum""[tiab])) NOT ((""putamen""[tiab]) OR (""caudate nucleus""[tiab]) OR (""nucleus accumbens""[tiab] OR (""NAc""[tiab] AND (accumbens[tiab] OR striat*[tiab] OR reward[tiab]))) OR (""ventral striatum""[tiab]) OR (""dorsal striatum""[tiab]))) AND (""2015""[PDAT] : ""2025""[PDAT])",19841,13876,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22striatum%22%5Btiab%5D+OR+%22corpus+striatum%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%28%22striatum%22%5Btiab%5D+OR+%22corpus+striatum%22%5Btiab%5D%29%29+NOT+%28%28%22putamen%22%5Btiab%5D%29+OR+%28%22caudate+nucleus%22%5Btiab%5D%29+OR+%28%22nucleus+accumbens%22%5Btiab%5D+OR+%28%22NAc%22%5Btiab%5D+AND+%28accumbens%5Btiab%5D+OR+striat%2A%5Btiab%5D+OR+reward%5Btiab%5D%29%29%29+OR+%28%22ventral+striatum%22%5Btiab%5D%29+OR+%28%22dorsal+striatum%22%5Btiab%5D%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,4.2976,0.8343,4.1423,0.8056
dorsal striatum,basal ganglia,striatum,0,"((""dorsal striatum""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])","((""dorsal striatum""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])",1973,1973,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22dorsal+striatum%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22dorsal+striatum%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,3.2953,0.5193,3.2953,0.5326
ventral striatum,basal ganglia,striatum,0,"((""ventral striatum""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])","((""ventral striatum""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])",2484,2484,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22ventral+striatum%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22ventral+striatum%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,3.3953,0.5507,3.3953,0.5648
nucleus accumbens,basal ganglia,striatum,0,"((""nucleus accumbens""[tiab] OR (""NAc""[tiab] AND (accumbens[tiab] OR striat*[tiab] OR reward[tiab])))) AND (""2015""[PDAT] : ""2025""[PDAT])","((""nucleus accumbens""[tiab] OR (""NAc""[tiab] AND (accumbens[tiab] OR striat*[tiab] OR reward[tiab])))) AND (""2015""[PDAT] : ""2025""[PDAT])",9109,9109,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22nucleus+accumbens%22%5Btiab%5D+OR+%28%22NAc%22%5Btiab%5D+AND+%28accumbens%5Btiab%5D+OR+striat%2A%5Btiab%5D+OR+reward%5Btiab%5D%29%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22nucleus+accumbens%22%5Btiab%5D+OR+%28%22NAc%22%5Btiab%5D+AND+%28accumbens%5Btiab%5D+OR+striat%2A%5Btiab%5D+OR+reward%5Btiab%5D%29%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,3.9595,0.728,3.9595,0.7467
caudate nucleus,basal ganglia,striatum,0,"((""caudate nucleus""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])","((""caudate nucleus""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])",2900,2900,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22caudate+nucleus%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22caudate+nucleus%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,3.4625,0.5718,3.4625,0.5865
putamen,basal ganglia,striatum,0,"((""putamen""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])","((""putamen""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])",7479,7479,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22putamen%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22putamen%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,3.8739,0.7011,3.8739,0.7191
globus pallidus,basal ganglia,,0,"((""globus pallidus""[tiab] OR (""GPi""[tiab] AND (pallidus[tiab] OR pallidal[tiab])) OR (""GPe""[tiab] AND (pallidus[tiab] OR pallidal[tiab])))) AND (""2015""[PDAT] : ""2025""[PDAT])","((""globus pallidus""[tiab] OR (""GPi""[tiab] AND (pallidus[tiab] OR pallidal[tiab])) OR (""GPe""[tiab] AND (pallidus[tiab] OR pallidal[tiab])))) AND (""2015""[PDAT] : ""2025""[PDAT])",3705,3705,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22globus+pallidus%22%5Btiab%5D+OR+%28%22GPi%22%5Btiab%5D+AND+%28pallidus%5Btiab%5D+OR+pallidal%5Btiab%5D%29%29+OR+%28%22GPe%22%5Btiab%5D+AND+%28pallidus%5Btiab%5D+OR+pallidal%5Btiab%5D%29%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22globus+pallidus%22%5Btiab%5D+OR+%28%22GPi%22%5Btiab%5D+AND+%28pallidus%5Btiab%5D+OR+pallidal%5Btiab%5D%29%29+OR+%28%22GPe%22%5Btiab%5D+AND+%28pallidus%5Btiab%5D+OR+pallidal%5Btiab%5D%29%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,3.5689,0.6052,3.5689,0.6207
ventral pallidum,basal ganglia,,0,"((""ventral pallidum""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])","((""ventral pallidum""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])",391,391,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22ventral+pallidum%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22ventral+pallidum%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,2.5933,0.2986,2.5933,0.3062
subthalamic nucleus,basal ganglia,,0,"((""subthalamic nucleus""[tiab] OR (""STN""[tiab] AND (subthalamic[tiab] OR basal ganglia[tiab])))) AND (""2015""[PDAT] : ""2025""[PDAT])","((""subthalamic nucleus""[tiab] OR (""STN""[tiab] AND (subthalamic[tiab] OR basal ganglia[tiab])))) AND (""2015""[PDAT] : ""2025""[PDAT])",3912,3912,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22subthalamic+nucleus%22%5Btiab%5D+OR+%28%22STN%22%5Btiab%5D+AND+%28subthalamic%5Btiab%5D+OR+basal+ganglia%5Btiab%5D%29%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22subthalamic+nucleus%22%5Btiab%5D+OR+%28%22STN%22%5Btiab%5D+AND+%28subthalamic%5Btiab%5D+OR+basal+ganglia%5Btiab%5D%29%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,3.5925,0.6127,3.5925,0.6284
